archive,task_id,classification,archive_sha256,backup_path,source,canonical_source_sha256,test,canonical_test_sha256,member_count,original_test_log_present,corrected_during_integration,correction,testsRun,failures,errors,skipped,integration
BIE_PED_BRIDGE_001.zip,BIE-PED-BRIDGE-001,ORIGINAL ROADMAP L1,6e0bf2dac81dd75f0b95d2764548ece458a715598c00dc8532a7c836b08c57ab,backups/ingested/BIE_PED_BRIDGE_001.zip,bie/pedagogy/remedial_bridge_planner.py,9bd276d5d17c93fd0e52282da37c3d328b596a912536de210647cb9d18526335,tests/pedagogy/test_ped_bridge_001.py,6b00e12ae0c17840e40588105e025754b5f0153ace452acc81bcf23730cb8540,7,True,False,,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_BRIDGE_002.zip,BIE-PED-BRIDGE-002,ORIGINAL ROADMAP L1,fe5599a25df6dbd2fdd914c597b4dcaae390559339cf2c48944c5b023f485b42,backups/ingested/BIE_PED_BRIDGE_002.zip,bie/pedagogy/bridge_content_scope.py,fd59e8e0600b16bb76ae46beca781740a7a2e78103483471b6ee9366bbc3c4af,tests/pedagogy/test_ped_bridge_002.py,72d65c3e338c499f6c635d2eda15bc5eef699c77a24181e4ad04d90fe7fb4429,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_BRIDGE_003.zip,BIE-PED-BRIDGE-003,ORIGINAL ROADMAP L1,b1599f4e436a554d3d6ee89f596bb3310d12d8ad4721cd11cd41a381e41047c6,backups/ingested/BIE_PED_BRIDGE_003.zip,bie/pedagogy/bridge_exit_check.py,faa109868be24076a21c084080bf14a323a3adbd8f8f8d0b4b35942b7750015b,tests/pedagogy/test_ped_bridge_003.py,d4ba19ca7c8bb71ecfce9e5e27b78f764fba8406f4c31906163b04b2c37a72a7,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_EXAMPLE_001.zip,BIE-PED-EXAMPLE-001,ORIGINAL ROADMAP L1,2f233a92875387e45eea81965815f0aa474f071fbf99ae2cd5d1596ebd7032e2,backups/ingested/BIE_PED_EXAMPLE_001.zip,bie/pedagogy/example_selection.py,ed1494f7f0e4ec21ac87a4e5f2c093d49ede6752f0a091db042692b3972e1a71,tests/pedagogy/test_ped_example_001.py,1e41035c24a555d88aed20d7210a002a79486e1d74fc32067c21edca480f0514,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_EXAMPLE_002.zip,BIE-PED-EXAMPLE-002,ORIGINAL ROADMAP L1,afa1d0d756fd2cf8fe53ad9bb8a321413e56904e678e37b3303d61f9417d37da,backups/ingested/BIE_PED_EXAMPLE_002.zip,bie/pedagogy/example_difficulty.py,ed800e44df3fc2299084a57d36e15a4c392a33ee6f1b74068829369dcd21d09b,tests/pedagogy/test_ped_example_002.py,c7eecb13de4d6d3b47e4895f65bc5ac2a88f4fc22d3e88a6e2d65f806e627e22,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_EXAMPLE_003.zip,BIE-PED-EXAMPLE-003,ORIGINAL ROADMAP L1,a8ca7920f696e82b76bca4b71b0e2aa4956530d4fdc90c1c43a4748754bd72a4,backups/ingested/BIE_PED_EXAMPLE_003.zip,bie/pedagogy/worked_example_fading.py,e996278e363b710737f9398fa630b93cc152144e36f672db59352bf607c59dc1,tests/pedagogy/test_ped_example_003.py,7fd0657cb06669a0afb68afccbf4169144d1a9d5e188b86d1be5953d562969df,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_EXAMPLE_004.zip,BIE-PED-EXAMPLE-004,ORIGINAL ROADMAP L1,8b5e777be84134363f362abbfd79f22616b07b8de5840a6d885a23b100cd01dc,backups/ingested/BIE_PED_EXAMPLE_004.zip,bie/pedagogy/counterexample_selection.py,08f06e1951062374fb48061a3c00008d2dc01e0928a3c91e0fb6a9c53b382467,tests/pedagogy/test_ped_example_004.py,2e67ef8b6e23a1788b18b1ef16ee1e7bdc8465768da010b909f2f2d8230e7e00,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_ADAPT_001.zip,BIE-PED-HARD-ADAPT-001,ENTERPRISE HARDENING ADDITION,c290132857317383fe881a6f7eb3e649acbabd2602b4386c8935183b27d14f51,backups/ingested/BIE_PED_HARD_ADAPT_001.zip,bie/pedagogy/adaptive_policy_state_machine.py,11c0cd2d36eb8df9c203606fca42a77784090e945b89ab3541cdb21ec198c5a2,tests/pedagogy/test_ped_hard_adapt_001.py,0d882d0d3bb96dd2dc90dc7a0558286be0dc6b4e28a7bae916d5354f09a05c4f,7,True,True,Retain prior evidence and mastery uncertainty/confidence/observation IDs through adaptation; unresolved or low-confidence mastery cannot silently accelerate.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_ASSESS_001.zip,BIE-PED-HARD-ASSESS-001,ENTERPRISE HARDENING ADDITION,277a5f6d65bab59d77ef782d11d25888f1cfa33399f4a7dd977858e193fd5b4d,backups/ingested/BIE_PED_HARD_ASSESS_001.zip,bie/pedagogy/assessment_blueprint.py,af81c84329e2f5bd089c93ae6b3069fb212c1ecccc689df31f0c66c7d0fa918b,tests/pedagogy/test_ped_hard_assess_001.py,8d975c388c372eca5b1b255fafb364f4b8d691b8af633d563ec5ad9489c893b4,7,True,True,Reject blank assessment item/evidence identifiers and invalid coverage requirements; normalize evidence bindings.,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_CURRICULUM_OPT_001.zip,BIE-PED-HARD-CURRICULUM-OPT-001,ENTERPRISE FINAL-HARDENING ADDITION,4a1b51502354533b310ee2aa0c0b73e1fbe5806aef7f1f434c4cc3195c55bf60,backups/ingested/BIE_PED_HARD_CURRICULUM_OPT_001.zip,bie/pedagogy/book_scale_curriculum_optimizer.py,069181805006cb65feb8ff2480818096c5683bb84037f8f86afe2e9ab3ebe265,tests/pedagogy/test_ped_hard_curriculum_opt_001.py,419c8abc3eeb6b0b6befb01027ed0c8f2e196cfbd7ac171ecf787f5dd356a0ee,7,True,True,Enforce finite positive time/load budgets and reject unsplittable oversized units; retain hard constraint semantics.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_DOMAIN_001.zip,BIE-PED-HARD-DOMAIN-001,ENTERPRISE FINAL-HARDENING ADDITION,674539f639ff914c3eeaf198586eacbfc2ab0da23fb3680352281a04a06531f4,backups/ingested/BIE_PED_HARD_DOMAIN_001.zip,bie/pedagogy/domain_pedagogy_policy.py,02d9050a673761e0ef27c9bd3f1f01599c5ed4dd288694f1f7c7cb07555ec5d5,tests/pedagogy/test_ped_hard_domain_001.py,a6b6dddbfbe0ab8fff75930e81ca08ac80b53cc2bb0d67a3983ca5be01123dc8,7,True,True,Require every declared evidence kind and a matching learning intent before selecting a policy.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_GATE_001.zip,BIE-PED-HARD-GATE-001,ENTERPRISE HARDENING ADDITION,411b9c19ccc81974bcef2a2faecf58b49b10399d2f063686240ffbe374669c6f,backups/ingested/BIE_PED_HARD_GATE_001.zip,bie/pedagogy/pedagogy_section_readiness.py,7226f4517e34296970d96474b983a979b8118b7933663fff8ba1f1a43a61d79c,tests/pedagogy/test_ped_hard_gate_001.py,0107715f4a9cb909294be6559abe6c354e2ced1a2f63b10149ad87e6fe965afe,7,True,True,Require explicit boolean checks/provenance/reproducibility; truthy strings and NaN cannot pass.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_LOAD_001.zip,BIE-PED-HARD-LOAD-001,ENTERPRISE HARDENING ADDITION,a551d102cab164fd7356730555ada9acbe50de33c38b8dddef32012d3de3f429,backups/ingested/BIE_PED_HARD_LOAD_001.zip,bie/pedagogy/pedagogy_load_budget.py,e7638be09fea46f82532688a637382c3e3da187ab32afc5688937ff9889090ca,tests/pedagogy/test_ped_hard_load_001.py,43293810177aaeb8887a813d30d4a677cf19a9216fac8f151803df01b0928970,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_MASTERY_UNC_001.zip,BIE-PED-HARD-MASTERY-UNC-001,ENTERPRISE FINAL-HARDENING ADDITION,c7a00e1c958c195c273afb33eddb02a29960bf079559122d97ea5280ba1c7e95,backups/ingested/BIE_PED_HARD_MASTERY_UNC_001.zip,bie/pedagogy/uncertainty_aware_mastery.py,6b9f1edf374a2e8d7f9cf0e6e24d78fde600b1150c34d478175330ca08c3adef,tests/pedagogy/test_ped_hard_mastery_unc_001.py,665169fa2227e7e12e328f5c5b37e7892ba2b95c6108d1ced2cd87f37c26ce32,7,True,True,"Validate policy ranges, observation age and grounding; canonicalize observation order for replay.",4,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_NARR_001.zip,BIE-PED-HARD-NARR-001,ENTERPRISE HARDENING ADDITION,9e930221284f6b0de48caa2e1b513e3693395c642a6f17b227dd1932c6405403,backups/ingested/BIE_PED_HARD_NARR_001.zip,bie/pedagogy/pedagogy_mode_arbitration.py,b869bb84aacc1241037168e3d07eeb159708fe2d55f759d78a8691cd5dbcec2a,tests/pedagogy/test_ped_hard_narr_001.py,24e7eaf9d3f3e86633f1e1bd6e2f8bd43b7bdf1dedb367250f4bb1fe4c582d94,7,True,True,"Keep review flags through mode hysteresis, flag low fit, and reject modes with zero evidence support.",2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_ORCH_001.zip,BIE-PED-HARD-ORCH-001,ENTERPRISE HARDENING ADDITION,4c1f65987dc3f08f7702fee00a6a0bf8e26c12f41ad8b3a3b10a127a3acae4d8,backups/ingested/BIE_PED_HARD_ORCH_001.zip,bie/pedagogy/pedagogy_plan_contract.py,0e318947e060a959ad4ed835de286ec4968e934b173881669ebdfa1f92104424,tests/pedagogy/test_ped_hard_orch_001.py,d71f1457806fd0eef9ce3bcacd7f59a9086c77b20c7cda8348283518a91e46c1,7,True,True,Reject cyclic decision parents and blank evidence; canonicalize set-valued bindings and retain upstream UNREACHABLE review semantics.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_REALBOOK_001.zip,BIE-PED-HARD-REALBOOK-001,ENTERPRISE HARDENING ADDITION,d2dbd701c03b38d61bd6354c1e49271dc3f427d769400fc187a21623333660e0,backups/ingested/BIE_PED_HARD_REALBOOK_001.zip,bie/pedagogy/pedagogy_realbook_fixture.py,af08b67d3b0a8a3a5010304d5f9189c5ae8da2840006e1befe236aa0b05ad320,tests/pedagogy/test_ped_hard_realbook_001.py,4d208728197fdf5bd3102fcddb8bdb2a968b3a86c46b112335e8bfe7cfbe725f,7,True,True,Block ungrounded stage artifacts and cyclic parent chains; report both with explicit result fields.,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_REPRO_001.zip,BIE-PED-HARD-REPRO-001,ENTERPRISE HARDENING ADDITION,645ce737a6b5a6abbc67389b204f76418da4c69a282fdee9b91480adb97f5183,backups/ingested/BIE_PED_HARD_REPRO_001.zip,bie/pedagogy/pedagogy_replay_manifest.py,9356afc89efc74c4460d74dddb58c2c920c97494d4dc0af65e1d4867bea9f085,tests/pedagogy/test_ped_hard_repro_001.py,897bb3d0fbf2c878b123364e9426a672f4153289404db5a49bbf1755793ccdba,7,True,True,"Require input, upstream Reasoning and output fingerprint bindings.",2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_SEQ_001.zip,BIE-PED-HARD-SEQ-001,ENTERPRISE HARDENING ADDITION,e0dad6e5fa65cb4482c8459b8df1879c59cf5a1f8a6999b1807a1598cdf58b3f,backups/ingested/BIE_PED_HARD_SEQ_001.zip,bie/pedagogy/multi_constraint_sequencer.py,b5bc2b4fc65737459ae9bf3a0d7700ac32f512ac2f6b2968e3767df989d08eb9,tests/pedagogy/test_ped_hard_seq_001.py,389d35feefd972f9cd3a8c99f232a6de1426f952dd451e7502ab2f2f7efc33bd,7,True,True,Reject nonfinite adjacent-load budgets and nonboolean hard-constraint flags.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_HARD_TRACE_001.zip,BIE-PED-HARD-TRACE-001,ENTERPRISE HARDENING ADDITION,cc317e77dc5401eb5ae1cb8559e0abd74256514fb07ac5717e2a4662a16f8b0a,backups/ingested/BIE_PED_HARD_TRACE_001.zip,bie/pedagogy/pedagogy_provenance.py,17c1b7f1c42e5936c27c3da51a4cf9cdf6d6c4d1a4274e3e9f7b5e998ae692c1,tests/pedagogy/test_ped_hard_trace_001.py,3cdbd873156a623d4c2b61fd4ba9a48a3fd2248ab6e3138634f0ed12e4ce327c,7,True,True,Validate all lineage families and detect cycles across them without recursive depth limits.,3,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_MIS_001.zip,BIE-PED-MIS-001,ORIGINAL ROADMAP L1,6b8d6bbc1b6e962e75e03b443ceb901938ddb2016bbae8a1d3e20675825445a4,backups/ingested/BIE_PED_MIS_001.zip,bie/pedagogy/misconception_confrontation.py,da34585bf484990d0c7896b50ffeb3f32eb0c8843cc670256f2f340c9e8e26e2,tests/pedagogy/test_ped_mis_001.py,7127d2128f43f0f814a129a67109b06bff382aceb6a378c839fc8362888da4f9,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_MIS_002.zip,BIE-PED-MIS-002,ORIGINAL ROADMAP L1,39067061ad63d6f7274a141a6e4460089e9c0da8bed0752236c69196b0c155f3,backups/ingested/BIE_PED_MIS_002.zip,bie/pedagogy/misconception_diagnostic.py,b7458c131b58c7e3513d08b9b4ef61a309478a594c9103aece23ead41fadd537,tests/pedagogy/test_ped_mis_002.py,03ee9ad12ea12bc4a4d9c5844e22e1a9b16061a2c7ea684591c973fb48446b49,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_MIS_003.zip,BIE-PED-MIS-003,ORIGINAL ROADMAP L1,c348b06b394d9859f024153d07f7f9e79cc9ba96ff645bb28359cc5962c6c127,backups/ingested/BIE_PED_MIS_003.zip,bie/pedagogy/misconception_remediation.py,66b77a984da0471e35028879c3120b0eb0d635af59f87cbe6022798acfff8a0b,tests/pedagogy/test_ped_mis_003.py,561678756aa22dbceb120ba95e18f11e5fba9d48db5299fa6b066cc1700e5eab,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_NARR_001.zip,BIE-PED-NARR-001,ORIGINAL ROADMAP L1,de316b1f807dcdef74c2e234910dc1968cdc95d5d9dd3bc03d1455bb7c2c4976,backups/ingested/BIE_PED_NARR_001.zip,bie/pedagogy/teaching_mode_selection.py,02e1783ac3695ddf662421e5afdfafd4f2cc94baf7d94927b52c6bfe1e5ba946,tests/pedagogy/test_ped_narr_001.py,a97674aa4771414d57ffa60c724e9dae50028cbec0dc4527d72eb1dd6f0ad900,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_NARR_002.zip,BIE-PED-NARR-002,ORIGINAL ROADMAP L1,fa925de439ff41346c5f11bfcfe3ced84b82fb4c887d0537674b1dd79a1ba4ef,backups/ingested/BIE_PED_NARR_002.zip,bie/pedagogy/inquiry_mode.py,9089bee16cd6ee8cfd0c243f53835aa8cef0ddf789067ce03acd89f013d90d7a,tests/pedagogy/test_ped_narr_002.py,b7aaef33d63af1998ae78ab885ae2ec1c9a895aec051dda48c8a32b24dfb80d3,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_NARR_003.zip,BIE-PED-NARR-003,ORIGINAL ROADMAP L1,2b039fc14e3b006fdb1acf1ef295bf8728f196d892de7ec8d9dbd8715cc048f1,backups/ingested/BIE_PED_NARR_003.zip,bie/pedagogy/explanation_mode.py,07a4f0a04a2e2c2e491c5792e21dcc850020f54d28ef8d973deca2ef3e8ece2c,tests/pedagogy/test_ped_narr_003.py,eca0293e67f6c52aa9e826c3cf105905c91f584c951c558b9e69c4d068f79f3e,7,True,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_NARR_004.zip,BIE-PED-NARR-004,ORIGINAL ROADMAP L1,a752ac3b39839ad0ddd696df481b7f9fca4654d4af11287d329a4248ede7ade1,backups/ingested/BIE_PED_NARR_004.zip,bie/pedagogy/derivation_mode.py,81626c033f9601970979f2166f57e7385474c259ed644d68fa608ca83664024f,tests/pedagogy/test_ped_narr_004.py,414f36df3444641741eeafe6cc66142c350eb38bfe6cd8ed1989b74660e22ad3,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_NARR_005.zip,BIE-PED-NARR-005,ORIGINAL ROADMAP L1,4dc94faca0621c920c96f3cc37648bafbe5626f63983e95827c7434956edb54c,backups/ingested/BIE_PED_NARR_005.zip,bie/pedagogy/simulation_mode.py,6b1d16b9ec20a3c70148fe2fd8844aa16687e4ba78ee55f3b8030a2048f3e83b,tests/pedagogy/test_ped_narr_005.py,967a9e0ad2e44fbe3e89da3a7e12f4eb35bdf3e9fb95320ce729e062dd81eaf6,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_OBJ_001.zip,BIE-PED-OBJ-001,ORIGINAL ROADMAP L1,2c71657be3a19efbab54e448ac39b6e9a938ed596b1fb1abbd286340dc5cf4e7,backups/ingested/BIE_PED_OBJ_001.zip,bie/pedagogy/learning_objective_generator.py,fa84ffab7780827dad3029b13f59ee53e3764e7d1ecbbf6d9cd879098bdac21c,tests/pedagogy/test_ped_obj_001.py,385d0c0c348b3b2f3f46963069478f1d7a1dedf24493a2ed7ef279316064c42b,6,False,True,"Materialize evidence before validation; reject empty generators, blank IDs and scalar strings.",2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_OBJ_002.zip,BIE-PED-OBJ-002,ORIGINAL ROADMAP L1,c03ddffe60fcbd067a287a82e2f071091444bf168ea6718b21c9f67acb626ec1,backups/ingested/BIE_PED_OBJ_002.zip,bie/pedagogy/objective_taxonomy.py,5dfd279f506e1c80df4a522e94961e2f39a7ba2ac4882c509d50ea62b0b5a281,tests/pedagogy/test_ped_obj_002.py,40a62582351a7f2d640ff790a9a2e0dc9c2b66f74679e64ae03191a938df68e8,6,False,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_OBJ_003.zip,BIE-PED-OBJ-003,ORIGINAL ROADMAP L1,00b9b165ffab540a93431f3a48aecece788a41b8d1f5c3f8387d7acfdc19efd1,backups/ingested/BIE_PED_OBJ_003.zip,bie/pedagogy/objective_concept_mapping.py,3f968a28839730b21dbdc360ced37eeafa09c9c65af4d2380e03ee2fff5dfb0b,tests/pedagogy/test_ped_obj_003.py,0421602f11a32de422d132c2b20018c0704ab1b7dd8cf28b359b959734ecea29,6,False,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_OBJ_004.zip,BIE-PED-OBJ-004,ORIGINAL ROADMAP L1,85fda13e4b6682a89a4e39637471754922e3785d9590cc6e68bd2190fb4bc2ee,backups/ingested/BIE_PED_OBJ_004.zip,bie/pedagogy/objective_evidence.py,f3df6017180e820e4d070ee9c12b0704e7c22f2a9260805ed9da1be896b12bb2,tests/pedagogy/test_ped_obj_004.py,c43d8c029b9478a1852371d00a64e62982f6f5be41bb76e0dd8f3cffafb03288,6,False,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_OBJ_005.zip,BIE-PED-OBJ-005,ORIGINAL ROADMAP L1,500140423c4a96c877d2c311a08b24a0dca69a3b1c25b4391290c78f7969db9d,backups/ingested/BIE_PED_OBJ_005.zip,bie/pedagogy/objective_mastery_criterion.py,8db7c416a0ea6fa02bfa2beeb768d87f783af0e2fd6fbd28ece3c817ff00dbf1,tests/pedagogy/test_ped_obj_005.py,a4ed68273b92beb7194c6b3eb2d60615a1624fe07ea13bdac1162e664be24338,6,False,False,,1,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_QA_001.zip,BIE-PED-QA-001,ORIGINAL ROADMAP L1,f73ea4bb51fd35316da54c7efabdcac47bb0e4695074b5b8dcf684ab270ad4aa,backups/ingested/BIE_PED_QA_001.zip,bie/pedagogy/objective_coverage_qa.py,c2c0c9432059acaf778543b641a80df9ba713a0c2a3dcc2eea10322ada7fdfcf,tests/pedagogy/test_ped_qa_001.py,c9d07fcf60df4107861e2d2b47c477f4f4604da703f01fc522b24064d2f2b3a3,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
BIE_PED_QA_002.zip,BIE-PED-QA-002,ORIGINAL ROADMAP L1,b400ec4760268cc362ecbe7bff51123ceaf77584ec572d38de6c6bd4e21b89b4,backups/ingested/BIE_PED_QA_002.zip,bie/pedagogy/prerequisite_coverage_qa.py,5cfc730845478bf41fa3a2367ec780d052b2efee6eec1555d423dc95eb19d339,tests/pedagogy/test_ped_qa_002.py,3e75618d51751f82df1eef57e6c1046acc4d478d1c31f1cc6821c22001a76f68,7,True,False,,2,0,0,0,CANONICAL_LOCAL_VERIFIED
